NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,421.02784497325183
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,462.8888285265424
b38a03232f43b11c9d0788abaf060f7366053b6d,547.0261361489007
70b682d9a3636be23f6120fa9d6b164eb3c6002d,2.467721494886021
715494628a50142ce8cb17191cfe6d0f3cae0934,560.7955009182327
e656d6bad65c93fb2880f1eba5037008c8e75774,481.9197026647571
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,554.9111819729903
11539e86171bf07d3a36f09377d7f54ebcc8406a,409.54682463590757
043c544a2104aa8a9849f1a703a08d37a2f16839,476.3799825922182
76ba050e64ad100b856f0eaabd8f539d5c7dd185,472.05633143019804
8b7c167ea7b55c8168ec60c3851b1b598a8fbd11,-10.869747507931741
db4da599aab5bb08dce27094a35fd3e36cd0abce,-15.756468265258391
940aede382ccb332fab15d413217695ec44ca765,497.747608964048
9ad714b116da76d878dd399d187fccc2dd13dd63,523.7761906705161
dd34464a4d780b12a089347ad580418ac57a3055,510.7238656253186
f837a4cb05a5fd59d20138182f5e8c721eadd584,501.9883813299498
fbfa8cde21a692b51fb86342110b4a334a0fcfdb,-14.029146226491399
ca8477c8493b09f34d17bb287f9bacf2dd744c32,-5.780712365802678
8b0c675d7fde14953668269d378c588f0df0498b,-9.518700020431773
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,398.2413682226675
3d203727f27abd83b71732d88d8cb1cc099f363b,421.8999154499547
d30d31c8ff45094e9a992c63d4a6f68b245a341a,115.4444149893724
c0c6a803c271a955a7085a59cd3d4d43bcf7a1a6,-15.634081126230605
cbc301183dec912f3513ca766bf03dd565f3a38f,499.0313353506739
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,606.0000679167186
11282da1ee78c8db45a041db4c744e33df489df0,473.52147633553386
03c67f683a415c2ea09b582248bd4cb08528c19d,582.4807770638567
046e844fb06a07ba30b41521f0065a8d9c6e5024,411.52004412145584
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,484.8450045767388
153eebe4d270fe850d2ede7f53cbc81a6f4ddf91,13.929345798133298
a4e821c6f16fdae0a26cbbb7018b75812dfd074b,-17.862734077631494
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,438.0564175517489
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,517.8259585778981
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,484.12253995295373
a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,520.1745271150621
f8d4f9a26c5f2023c33701a8888f9c02513a02c7,486.3568211849413
9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,494.60335793139006
59bfa081e020013410d9f60f91813964ba749bb2,432.06678556775626
f5e069ee3bc95998464e8ff5da048b7f999921ed,387.5914203796311
e02240b518016d03a1b5bcc6d0a37b7a527ea93d,546.599783841455
664f44258212a1f7e4086f2b4845d586c543fa3f,464.40207258186047
265cd7befa74a9f2a198fc57baec9858075f8419,440.8874487341223
6f9ac44919bbd204e0ef15185388fd2d4bc61253,506.09123074295997
78de1ee60b55766cc3eba4089e36c57139b66ebd,466.9058073816128
24550edb10f283ef4e953fd6a8fedbfa211bd456,-17.946946334221664
1e61a474acdc043eb39a89c17fab34bd2ea1a940,434.5954746295393
940af68ded6af2875708611051aa7ff3f134d80b,494.6497122800072
e7ec3258f3b280c1ddf452d107fbdc9fb5a6b72e,472.9486537400412
c76ddf6e9f80984e901b12f9462a3cf029bea290,545.1780121363406
7d39df837488ca3fa6e512fd9e20ec7753b4c36d,473.86588279352304
65bba36aa15f0c4ef3562ea56c125d931bc4ed63,129.35519619427578
1045c54b5ea9f6e08454ec57c47e4ce0e33190bd,84.55533295275498
92823d467a2ced9529801e0e8a94802dd88f0c17,450.29159992789846
9d0fbf9bf1bb039de65a6d0e143c9a791c62b941,597.2166510305727
413cbb38b2e2522f8167ffb9daeac1347b281393,491.9797131881129
68985fad004092956a4b4ce94dd53dc76d07eaf7,481.62947604633166
bdca9aeb19521675af15f2c28d86f6bebc45a834,512.278952197199
